episode_number,user_id,episode_id,source,created_at,updated_at,tv_show_name,episode_season_number
1,11519429,110413,season-detail,2018-09-16 21:54:13,2018-09-16 21:54:13,The Office (US),1
15,11519429,303835,season-detail,2017-02-22 14:37:01,2017-02-22 14:37:01,Friends,1
8,11519429,306099,season-detail,2018-09-21 21:41:04,2018-09-21 21:41:04,The Office (US),2
18,11519429,306109,season-detail,2018-09-23 21:48:15,2018-09-23 21:48:15,The Office (US),2
7,11519429,312503,season-detail,2018-09-25 21:49:39,2018-09-25 21:49:39,The Office (US),3
16,11519429,319357,season-detail,2018-09-27 21:49:50,2018-09-27 21:49:50,The Office (US),3
11,11519429,341491,season-detail,2018-10-06 18:00:35,2018-10-06 18:00:35,The Office (US),4
0,11519429,363563,season-detail,2018-10-08 21:06:12,2018-10-08 21:06:12,The Office (US),0
3,11519429,371338,season-detail,2017-05-10 12:07:56,2017-05-10 12:07:56,Boris,1
7,11519429,371342,season-detail,2017-05-11 22:31:35,2017-05-11 22:31:35,Boris,1
9,11519429,371344,season-detail,2017-05-12 09:01:47,2017-05-12 09:01:47,Boris,1
11,11519429,371346,season-detail,2017-05-13 13:29:13,2017-05-13 13:29:13,Boris,1
12,11519429,371347,season-detail,2017-05-13 13:29:15,2017-05-13 13:29:15,Boris,1
13,11519429,371348,season-detail,2017-05-14 14:32:10,2017-05-14 14:32:10,Boris,1
2,11519429,371353,season-detail,2017-05-15 16:30:52,2017-05-15 16:30:52,Boris,2
4,11519429,371355,season-detail,2017-05-15 21:47:15,2017-05-15 21:47:15,Boris,2
6,11519429,371371,season-detail,2017-05-18 12:15:49,2017-05-18 12:15:49,Boris,2
10,11519429,412089,season-detail,2018-10-11 22:02:16,2018-10-11 22:02:16,The Office (US),5
16,11519429,427607,season-detail,2018-10-16 18:42:56,2018-10-16 18:42:56,The Office (US),5
21,11519429,488781,season-detail,2018-10-18 17:23:50,2018-10-18 17:23:50,The Office (US),5
22,11519429,525301,season-detail,2018-10-18 17:24:01,2018-10-18 17:24:01,The Office (US),5
13,11519429,1319741,season-detail,2018-10-28 12:56:33,2018-10-28 12:56:33,The Office (US),6
1,11519429,1801761,season-detail,2017-06-09 10:42:03,2017-06-09 10:42:03,Boris,3
6,11519429,1801811,season-detail,2017-07-16 11:57:40,2017-07-16 11:57:40,Boris,3
10,11519429,2023461,season-detail,2017-09-10 12:41:21,2017-09-10 12:41:21,Boris,3
2,11519429,2788781,season-detail,2018-10-31 20:17:53,2018-10-31 20:17:53,The Office (US),7
10,11519429,3134861,season-detail,2018-11-05 22:31:34,2018-11-05 22:31:34,The Office (US),7
1,11519429,4127819,season-detail,2018-11-12 22:47:06,2018-11-12 22:47:06,The Office (US),8
2,11519429,4160143,season-detail,2018-11-12 22:47:07,2018-11-12 22:47:07,The Office (US),8
3,11519429,4179450,season-detail,2018-02-18 14:35:00,2018-02-18 14:35:00,Fresh Meat,1
8,11519429,4193566,season-detail,2017-02-22 13:03:21,2017-02-22 13:03:21,Modern Family,3
7,11519429,4194357,season-detail,2018-02-26 21:17:49,2018-02-26 21:17:49,Fresh Meat,1
10,11519429,4212093,season-detail,2018-11-19 21:23:51,2018-11-19 21:23:51,The Office (US),8
26,11519429,4222834,season-detail,2018-11-08 22:48:07,2018-11-08 22:48:07,The Office (US),7
