monthly_score,tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score
35,Trailer Park Boys,11519429,70566,1563917848,35,35
100,The Simpsons,11519429,71663,1662066847,100,100
100,Arrested Development,11519429,72173,1554058640,100,100
100,The Office (US),11519429,73244,1545639154,100,100
35,Freaks and Geeks,11519429,76321,1579436912,35,35
100,Trigun,11519429,77680,1562793031,100,100
35,Full Metal Panic!,11519429,78914,1567475539,35,35
35,Friends,11519429,79168,1487774221,35,35
35,Psych,11519429,79335,1487788034,35,35
100,Boris,11519429,82276,1505047281,100,100
100,Modern Family,11519429,95011,1605900112,100,100
100,Game of Thrones,11519429,121361,1559075212,100,100
35,Sherlock,11519429,176941,1487768710,35,35
100,Suits,11519429,247808,1501715256,100,100
100,New Girl,11519429,248682,1516565546,100,100
100,Fresh Meat,11519429,251889,1523905881,100,100
100,Black Mirror,11519429,253463,1744698646,100,100
100,American Gods,11519429,253573,1553867472,100,100
35,The Americans (2013),11519429,261690,1487774188,35,35
100,Cuckoo,11519429,262558,1560710134,100,100
35,Penny Dreadful,11519429,265766,1487768648,35,35
100,Helix,11519429,265912,1549407962,100,100
100,Brooklyn Nine-Nine,11519429,269586,1541457071,100,100
100,Peaky Blinders,11519429,270915,1530564967,100,100
100,From Dusk Till Dawn: The Series,11519429,276312,1566246409,100,100
70,Deadbeat,11519429,279392,1534519463,70,70
100,Z Nation,11519429,280494,1554412797,100,100
35,Tokyo Ghoul,11519429,281249,1569796634,35,35
100,iZombie,11519429,281470,1520086795,100,100
35,Marry Me (2014),11519429,281589,1510516979,35,35
100,Unbreakable Kimmy Schmidt,11519429,281593,1549407946,100,100
35,Weird Loners,11519429,281632,1510517303,35,35
100,Grace and Frankie,11519429,282562,1518964435,100,100
80,Lovesick,11519429,286126,1514934511,80,80
35,Superstore,11519429,295648,1641523818,35,35
100,Lucifer,11519429,295685,1558045332,100,100
70,Ash vs Evil Dead,11519429,296295,1532470316,70,70
70,Bob Torrent,11519429,298185,1532721268,70,70
35,Master of None,11519429,298901,1487774090,35,35
100,Preacher,11519429,300472,1567555442,100,100
70,Crashing,11519429,305177,1501715246,70,70
100,Stranger Things,11519429,305288,1562792995,100,100
100,Love,11519429,305378,1499029071,100,100
100,Wynonna Earp,11519429,305582,1548025274,100,100
70,Degrassi: Next Class,11519429,305913,1510866918,70,70
100,Flaked,11519429,306249,1509904063,100,100
100,Van Helsing,11519429,308772,1552920724,100,100
100,Good Morning Call,11519429,309066,1549109014,100,100
100,The Good Place,11519429,311711,1552683465,100,100
70,Great News,11519429,311899,1658910235,70,70
35,Riverdale,11519429,311954,1561240788,35,35
