series_id,uuid,type-uuid-n,updated_at,type,watch_count,user_id,created_at,watches,release_date_range_key,alpha_range_key,follow_date_range_key,runtime,entity_type,release_date,rewatch_count,season_number,series_uuid,watch_date,episode_id,episode_number,watched_episode_range_key,total_series_runtime,total_movies_runtime,unitarian,country,bulk_type,watch_date_range_key,movie_name,series_name
353309,019541e5-a756-46b0-a130-edf8e8d45cd4,count-watch-episode-series-019541e5-a756-46b0-a130-edf8e8d45cd4,2021-05-31 13:17:53,count-watch-episode-series,6,11519429,2021-05-25 13:55:04,,,,,,,,,,,,,,,,,,,,,,Haunted (2018)
75805,04b0ca84-92dd-4105-9424-0bef4786c7f6,count-watch-episode-series-04b0ca84-92dd-4105-9424-0bef4786c7f6,2021-01-14 19:07:08,count-watch-episode-series,45,11519429,2020-12-31 08:43:36,,,,,,,,,,,,,,,,,,,,,,It's Always Sunny in Philadelphia
340234,077678fc-dc37-4a5a-b242-eabc264d4f38,count-watch-episode-series-077678fc-dc37-4a5a-b242-eabc264d4f38,2021-03-02 21:59:50,count-watch-episode-series,30,11519429,2021-02-17 10:00:40,,,,,,,,,,,,,,,,,,,,,,Disenchantment
276564,0b6d1a81-e831-4020-ba96-4eedd71ded4d,count-watch-episode-series-0b6d1a81-e831-4020-ba96-4eedd71ded4d,2021-05-18 18:02:25,count-watch-episode-series,22,11519429,2021-04-03 22:09:57,,,,,,,,,,,,,,,,,,,,,,The Strain
376164,0f022fac-f5f4-4d75-8bee-c0cfe805ea06,count-watch-episode-series-0f022fac-f5f4-4d75-8bee-c0cfe805ea06,2020-12-13 17:43:44,count-watch-episode-series,6,11519429,2020-12-13 17:43:44,,,,,,,,,,,,,,,,,,,,,,The Head (2020)
393680,11ad6157-c709-46ff-b56e-36fcc0bf8b79,count-watch-episode-series-11ad6157-c709-46ff-b56e-36fcc0bf8b79,2021-05-18 18:02:00,count-watch-episode-series,6,11519429,2021-02-24 06:57:34,,,,,,,,,,,,,,,,,,,,,,Bling Empire
372787,13d76e60-6a50-4e9f-b2ee-340902dd1875,count-watch-episode-series-13d76e60-6a50-4e9f-b2ee-340902dd1875,2021-10-23 11:26:16,count-watch-episode-series,1,11519429,2021-10-23 11:26:16,,,,,,,,,,,,,,,,,,,,,,The Walking Dead: World Beyond
394748,2a92fe4a-3544-4b3e-adcb-00b6a732795b,count-watch-episode-series-2a92fe4a-3544-4b3e-adcb-00b6a732795b,2021-01-26 16:30:39,count-watch-episode-series,8,11519429,2021-01-26 16:30:39,,,,,,,,,,,,,,,,,,,,,,Spycraft
79168,2ae88ab6-1371-4f8f-814f-c4693112286b,count-watch-episode-series-2ae88ab6-1371-4f8f-814f-c4693112286b,2021-10-23 11:27:14,count-watch-episode-series,163,11519429,2021-05-25 13:56:19,,,,,,,,,,,,,,,,,,,,,,Friends
356317,2ca857f5-aa12-4c60-8f01-3615da41dc09,count-watch-episode-series-2ca857f5-aa12-4c60-8f01-3615da41dc09,2021-11-06 12:25:29,count-watch-episode-series,16,11519429,2021-10-23 11:25:22,,,,,,,,,,,,,,,,,,,,,,Sex Education
