tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Neon Genesis Evangelion,11519429,70350,1,0,17
Trailer Park Boys,11519429,70566,1,0,32
Hellsing,11519429,71278,1,0,13
The Simpsons,11519429,71663,1,0,776
NCIS,11519429,72108,1,0,0
Arrested Development,11519429,72173,1,0,84
The Office (US),11519429,73244,1,0,203
Lost,11519429,73739,1,0,102
Band of Brothers,11519429,74205,1,0,10
Weeds,11519429,74845,1,0,10
How I Met Your Mother,11519429,75760,1,0,208
It's Always Sunny in Philadelphia,11519429,75805,1,0,45
Scrubs,11519429,76156,1,0,168
Freaks and Geeks,11519429,76321,1,0,1
Trigun,11519429,77680,1,0,26
The Office,11519429,78107,1,0,10
Full Metal Panic!,11519429,78914,1,0,20
Friends,11519429,79168,1,0,477
Psych,11519429,79335,1,0,117
Mad Men,11519429,80337,1,0,13
Dragon Ball Z,11519429,81472,1,0,291
Boris,11519429,82276,1,0,42
Community,11519429,94571,1,0,110
Cougar Town,11519429,94991,1,0,102
Modern Family,11519429,95011,1,0,237
Game of Thrones,11519429,121361,1,0,74
Blue Mountain State,11519429,134511,1,0,39
The Walking Dead,11519429,153021,1,0,83
Shameless (US),11519429,161511,1,0,12
Happy Endings,11519429,167571,1,0,57
High School of the Dead,11519429,171591,1,0,3
Sherlock,11519429,176941,1,0,11
Suits,11519429,247808,1,0,76
New Girl,11519429,248682,1,0,261
Don't Trust the B---- in Apartment 23,11519429,248812,1,0,26
Fresh Meat,11519429,251889,1,0,30
Black Mirror,11519429,253463,1,0,27
American Gods,11519429,253573,1,0,11
The Newsroom (2012),11519429,256227,1,0,25
The Americans (2013),11519429,261690,1,0,1
Cheer,11519429,261795,1,0,6
Cuckoo,11519429,262558,1,0,33
House of Cards (US),11519429,262980,1,0,39
Euphoria (2012),11519429,264511,1,0,0
Utopia,11519429,264991,1,0,0
Penny Dreadful,11519429,265766,1,0,4
Helix,11519429,265912,1,0,20
Brooklyn Nine-Nine,11519429,269586,1,0,185
Drunk History,11519429,270550,1,0,0
Peaky Blinders,11519429,270915,1,0,24
Murders at Barlume,11519429,275295,1,0,12
From Dusk Till Dawn: The Series,11519429,276312,1,0,30
The Strain,11519429,276564,1,0,22
Mozart in the Jungle,11519429,278335,1,0,20
Deadbeat,11519429,279392,1,0,36
Z Nation,11519429,280494,1,0,68
Tokyo Ghoul,11519429,281249,1,0,6
iZombie,11519429,281470,1,0,58
Marry Me (2014),11519429,281589,1,0,6
Unbreakable Kimmy Schmidt,11519429,281593,1,0,51
Jane the Virgin,11519429,281621,1,0,48
Weird Loners,11519429,281632,1,0,6
Grace and Frankie,11519429,282562,1,0,22
Lovesick,11519429,286126,1,0,21
Mr. Robot,11519429,289590,1,0,10
Fear the Walking Dead,11519429,290853,1,0,77
Scream Queens,11519429,293302,1,0,19
Wet Hot American Summer,11519429,294560,1,0,8
Superstore,11519429,295648,1,0,149
Lucifer,11519429,295685,1,0,153
Containment,11519429,295767,1,0,13
Ash vs Evil Dead,11519429,296295,1,0,30
Bob Torrent,11519429,298185,1,0,10
Master of None,11519429,298901,1,0,1
A Very Secret Service,11519429,299857,1,0,41
Preacher,11519429,300472,1,0,44
Crashing,11519429,305177,1,0,6
Stranger Things,11519429,305288,1,0,42
Love,11519429,305378,1,0,22
Wynonna Earp,11519429,305582,1,0,25
Degrassi: Next Class,11519429,305913,1,0,5
Flaked,11519429,306249,1,0,14
Van Helsing,11519429,308772,1,0,107
